dataSource,value_O_wells,units_wells,value_O_heads,units_heads,value_O_drains,units_drains,Zone_1,Zone_2,Zone_3,Zone_4,Zone_5,Zone_6,Zone_7,Zone_8,Zone_9,Zone_10,Zone_11
033305fc2c43282e8b6b7d6adc962050.csv,2730000000,ft3 (total for entire model),784.08844,feet (monthly average),18.716381,cfs,1.9,1.5,1.9,2,1.9,1.9,1.9,0.7,1.9,1.9,1.4
03399082504ee4a039755cc9c000c8d7.csv,3070000000,ft3 (total for entire model),782.188,feet (monthly average),18.335617,cfs,1.9,1.5,2,2,1.9,2,1.5,0.6,2,1.9,1.9
033e829aa7c206f3a5b9181e126ab77f.csv,3100000000,ft3 (total for entire model),782.5858,feet (monthly average),18.254581,cfs,1.9,1.9,1.9,1.9,1.9,1.9,2,0.6,1.9,1.8,1.9
0343784b1a9c4c43ad6e4fdf6c976564.csv,3200000000,ft3 (total for entire model),781.64594,feet (monthly average),18.30173,cfs,2,1.5,1.9,2,2,1.2,1.9,0.7,2,1.9,2
0354ae906a739e28a10190617fd4b3fe.csv,3080000000,ft3 (total for entire model),782.0481,feet (monthly average),18.32127,cfs,1.9,1.5,2,1.3,1.9,2,1.9,0.6,2,1.9,1.9
035e8b35974610ad2e47ee2af9a32c35.csv,3250000000,ft3 (total for entire model),781.80975,feet (monthly average),18.288872,cfs,1.9,0.6,2,1.9,1.9,1.8,1.9,0.7,2,2,2
0363dccd88728c008605584cbadc6424.csv,3300000000,ft3 (total for entire model),781.51044,feet (monthly average),18.018612,cfs,1.9,1.9,2,1.9,1.9,1.8,2,0.7,1.7,1.9,2
0368ec24c0872ea2a8afa021583c27e2.csv,3370000000,ft3 (total for entire model),780.7233,feet (monthly average),18.037296,cfs,2,1.5,1.9,2,1.9,1.5,1.9,0.8,2,2,2
037432b322610d41199cdda66b4ae7c2.csv,3150000000,ft3 (total for entire model),782.51984,feet (monthly average),18.34114,cfs,2,1.9,1,1,2,1,2,0.7,2,1,2
03857f68d141bcc082dbe60d46a2a466.csv,3090000000,ft3 (total for entire model),782.749,feet (monthly average),18.460598,cfs,1.9,0.5,1.9,1.9,2,2,1.9,0.7,1.9,2,1.8
0391aea0b969ddd82ee53d6b42cdd1a1.csv,3330000000,ft3 (total for entire model),781.5837,feet (monthly average),18.069494,cfs,1.9,1.9,1.9,1.9,1.6,1,1.9,0.9,1.9,2,1.9
